#----------------,--------------------,---------------------,---------,---------,----------
#  NAME          ,  RAJ               ,  DECJ               ,   DIST  , AGE     , EDOT
#                ,  (hms)             ,  (dms)              ,   (kpc) , (Yr)    , (ergs/s)
#----------------,--------------------,---------------------,---------,---------,----------
   B0906-49      ,  09:08:35.46       ,  -49:13:05.00       ,   1.000 , 1.12e+05, 4.9e+35
   J0940-5428    ,  09:40:58.22       ,  -54:28:40.6        ,   0.377 , 4.22e+04, 1.9e+36
   J0952-0607    ,  09:52:08.32141    ,  -06:07:23.490      ,   5.600 , 4.69e+09, 6.7e+34
   J0954-5430    ,  09:54:06.046      ,  -54:30:52.82       ,   0.433 , 1.71e+05, 1.6e+34
   J0955-6150    ,  09:55:12          ,  -61:50:00          ,   2.170 , 2.22e+09, 7.0e+34
   J1015-5719    ,  10:15:37.96       ,  -57:19:12.8        ,   2.732 , 3.86e+04, 8.3e+35
   J1016-5819    ,  10:16:12.071      ,  -58:19:01.07       ,   2.587 , 1.99e+06, 4.1e+34
   J1016-5857    ,  10:16:21.16       ,  -58:57:12.1        ,   3.163 , 2.1e+04 , 2.6e+36
   J1019-5749    ,  10:19:52.14       ,  -57:49:05.9        ,   10.913, 1.28e+05, 1.8e+35
   J1020-6026    ,  10:20:11.41       ,  -60:26:06.3        ,   3.277 , 3.3e+05 , 9.6e+34
   J1023+0038    ,  10:23:47.68720    ,  +00:38:40.8455     ,   1.190 , 3.86e+09, 5.7e+34
   J1023-5746    ,  10:23:02.9        ,  -57:46:05          ,   2.080 , 4.6e+03 , 1.1e+37
   J1028-5819    ,  10:28:28.0        ,  -58:19:05.2        ,   1.423 , 9e+04   , 8.3e+35
   J1035-6720    ,  10:35:27.478      ,  -67:20:12.692      ,   1.460 , 9.79e+08, 7.7e+34
   J1043-6116    ,  10:43:55.261      ,  -61:16:50.76       ,   3.055 , 4.39e+05, 1.7e+34
   J1044-5737    ,  10:44:32.8        ,  -57:37:19.3        ,   1.895 , 4.03e+04, 8.0e+35
   J1048+2339    ,  10:48:43.418354   ,  +23:39:53.4043     ,   2.002 , 2.46e+09, 1.2e+34
   B1046-58      ,  10:48:13.05       ,  -58:32:06.2        ,   2.900 , 2.04e+04, 2.0e+36
   J1052-5954    ,  10:52:38.11       ,  -59:54:44.1        ,   3.143 , 1.43e+05, 1.3e+35
   J1055-6028    ,  10:55:39.19       ,  -60:28:37.5        ,   3.830 , 5.35e+04, 1.2e+36
   J1101-6101    ,  11:01:44.96       ,  -61:01:39.6        ,   7.000 , 1.16e+05, 1.4e+36
   J1105-6107    ,  11:05:26.14       ,  -61:07:48.94       ,   2.360 , 6.32e+04, 2.5e+36
   J1112-6103    ,  11:12:14.81       ,  -61:03:31.1        ,   4.464 , 3.27e+04, 4.5e+36
   J1115-6052    ,  11:15:53.722      ,  -60:52:18.61       ,   2.185 , 5.69e+05, 1.6e+34
   J1119-6127    ,  11:19:14.30       ,  -61:27:49.5        ,   8.400 , 1.61e+03, 2.3e+36
   J1124-3653    ,  11:24:01.116      ,  -36:53:19.10       ,   0.990 , 6.58e+09, 1.6e+34
   J1124-5916    ,  11:24:39.0        ,  -59:16:19          ,   5.000 , 2.85e+03, 1.2e+37
   J1125-5825    ,  11:25:44.36564    ,  -58:25:16.8798     ,   1.744 , 8.07e+08, 8.1e+34
   J1138-6207    ,  11:38:21.62       ,  -62:07:59.3        ,   7.183 , 1.49e+05, 3.0e+35
   J1151-6108    ,  11:51:56.86       ,  -61:08:17.6        ,   2.227 , 1.57e+05, 3.9e+35
   J1156-5707    ,  11:56:07.45       ,  -57:07:02.1        ,   2.848 , 1.72e+05, 4.4e+34
   J1216-6223    ,  12:16:41.96       ,  -62:23:57.00       ,   18.316, 3.52e+05, 1.3e+34
   J1221-0633    ,  12:21:24.8        ,  -06:33:51          ,   1.251 , 2.82e+09, 6.0e+34
   B1221-63      ,  12:24:22.254      ,  -64:07:53.87       ,   4.000 , 6.92e+05, 1.9e+34
   J1227-4853    ,  12:27:58.724      ,  -48:53:42.741      ,   1.613 , 2.41e+09, 9.1e+34
   J1231-1411    ,  12:31:11.3132     ,  -14:11:43.63       ,   0.420 , 2.56e+09, 1.8e+34
   J1248-6344    ,  12:48:46.36       ,  -63:44:09.6        ,   10.699, 1.86e+05, 8.6e+34
   B1257+12      ,  13:00:03.5767     ,  +12:40:56.4721     ,   0.709 , 8.62e+08, 1.9e+34
   J1301-6305    ,  13:01:45.76       ,  -63:05:33.9        ,   10.717, 1.1e+04 , 1.7e+36
   B1259-63      ,  13:02:47.638337   ,  -63:50:08.62859    ,   2.632 , 3.32e+05, 8.3e+35
   J1305-6203    ,  13:05:21.14       ,  -62:03:21.07       ,   11.586, 2.11e+05, 1.6e+34
   J1311-3430    ,  13:11:45.7242     ,  -34:30:30.350      ,   2.430 , 1.94e+09, 4.9e+34
