#----------------,--------------------,---------------------,---------,---------,----------
#  NAME          ,  RAJ               ,  DECJ               ,   DIST  , AGE     , EDOT
#                ,  (hms)             ,  (dms)              ,   (kpc) , (Yr)    , (ergs/s)
#----------------,--------------------,---------------------,---------,---------,----------
   J1813-1246    ,  18:13:23.77       ,  -12:45:59.2        ,   2.635 , 4.34e+04, 6.2e+36
   J1813-1749    ,  18:13:35.180      ,  -17:49:57.52       ,   6.147 , 5.58e+03, 5.6e+37
   J1815-1738    ,  18:15:14.67       ,  -17:38:06.83       ,   4.887 , 4.04e+04, 3.9e+35
   J1816-0755    ,  18:16:24.543      ,  -07:55:22.5        ,   3.152 , 5.32e+05, 2.5e+34
   J1816+4510    ,  18:16:35.93436    ,  +45:10:33.8618     ,   4.356 , 1.17e+09, 5.2e+34
   J1818-1448    ,  18:18:27.91       ,  -14:48:38          ,   4.997 , 7.25e+05, 1.1e+34
   J1818-1607    ,  18:18:00.19340    ,  +16:07:53.0049     ,   25.000, 516     , 6.5e+35
   J1820-1529    ,  18:20:41.31       ,  -15:29:42.26       ,   5.195 , 1.39e+05, 4.0e+34
   J1822-0902    ,  18:22:35.745      ,  -09:02:59.1        ,   15.673, 1.33e+05, 2.1e+35
   B1820-30A     ,  18:23:40.48701    ,  -30:21:40.127      ,   7.900 , 2.55e+07, 8.3e+35
   B1821-19      ,  18:24:00.56       ,  -19:46:03.36       ,   3.700 , 5.73e+05, 3.0e+34
   B1821-24A     ,  18:24:32.007904   ,  -24:52:10.878      ,   5.500 , 2.99e+07, 2.2e+36
   B1822-14      ,  18:25:02.96       ,  -14:46:53.77       ,   4.440 , 1.95e+05, 4.1e+34
   J1826-1256    ,  18:26:08.53       ,  -12:56:33.0        ,   1.550 , 1.44e+04, 3.6e+36
   B1823-13      ,  18:26:13.175      ,  -13:34:46.8        ,   3.606 , 2.14e+04, 2.8e+36
   J1828-1057    ,  18:28:33.24       ,  -10:57:26.9        ,   3.648 , 1.89e+05, 5.5e+34
   J1828-1101    ,  18:28:18.8        ,  -11:01:50.83       ,   4.767 , 7.72e+04, 1.6e+36
   J1830-0131    ,  18:30:19.612      ,  -01:31:48.1        ,   3.502 , 1.15e+06, 2.3e+34
   B1828-11      ,  18:30:47.51       ,  -10:59:26.52       ,   3.147 , 1.07e+05, 3.6e+34
   J1831-0952    ,  18:31:34.304      ,  -09:52:01.7        ,   3.683 , 1.28e+05, 1.1e+36
   J1832-0836    ,  18:32:27.592488   ,  -08:36:55.03357    ,   2.083 , 5.21e+09, 1.6e+34
   B1830-08      ,  18:33:40.268      ,  -08:27:31.6        ,   4.500 , 1.47e+05, 5.8e+35
   J1833-1034    ,  18:33:33.57       ,  -10:34:07.5        ,   4.100 , 4.85e+03, 3.4e+37
   J1833-3840    ,  18:33:04.6        ,  -38:40:46          ,   4.645 , 1.67e+09, 1.1e+35
   J1834-0731    ,  18:34:15.97       ,  -07:31:05.93       ,   4.072 , 1.4e+05 , 1.7e+34
   B1832-06      ,  18:35:05.561      ,  -06:43:06.4        ,   5.028 , 1.2e+05 , 5.6e+34
   J1835-0944    ,  18:35:46.653      ,  -09:44:27.2        ,   4.215 , 5.25e+05, 5.6e+34
   J1835-1106    ,  18:35:18.41       ,  -11:06:16.1        ,   3.159 , 1.28e+05, 1.8e+35
   J1836+5925    ,  18:36:13.674      ,  +59:25:30.15       ,   0.300 , 1.83e+06, 1.1e+34
   J1837-0559    ,  18:37:23.652      ,  -05:59:28.6        ,   4.315 , 9.63e+05, 1.6e+34
   J1837-0604    ,  18:37:43.55       ,  -06:04:49          ,   4.779 , 3.38e+04, 2.0e+36
   J1838-0453    ,  18:38:11.4        ,  -04:53:25.32       ,   6.629 , 5.19e+04, 8.3e+34
   J1838-0549    ,  18:38:38.065      ,  -05:49:12.1        ,   4.061 , 1.12e+05, 1.0e+35
   J1838-0655    ,  18:38:03.13       ,  -06:55:33.4        ,   6.600 , 2.27e+04, 5.5e+36
   J1839-0321    ,  18:39:37.520      ,  -03:21:10.8        ,   7.852 , 3.02e+05, 3.6e+34
   J1839-0905    ,  18:39:53.46       ,  -9:05:14.1         ,   6.815 , 2.55e+05, 1.4e+34
   J1841+0130    ,  18:41:17.761      ,  +01:30:16.9        ,   4.230 , 5.77e+07, 1.2e+34
   J1841-0345    ,  18:41:38.68       ,  -03:48:42.6        ,   3.776 , 5.59e+04, 2.7e+35
   B1838-04      ,  18:41:05.663      ,  -04:25:19.50       ,   4.399 , 4.61e+05, 3.9e+34
   J1841-0524    ,  18:41:49.32       ,  -05:24:29.5        ,   4.125 , 3.02e+04, 1.0e+35
   J1843-0355    ,  18:43:06.663      ,  -03:55:56.6        ,   5.798 , 2.02e+06, 1.8e+34
   J1843-0702    ,  18:43:22.439      ,  -07:02:54.6        ,   4.285 , 1.42e+06, 1.2e+34
   J1843-1113    ,  18:43:41.261917   ,  -11:13:31.0686     ,   1.260 , 3.06e+09, 6.0e+34
   B1841-05      ,  18:44:05.12       ,  -05:38:34.1        ,   5.404 , 4.17e+05, 2.3e+34
   J1845-0316    ,  18:45:52.9        ,  -03:16:05          ,   5.063 , 3.71e+05, 3.9e+34
   J1845-0743    ,  18:45:57.1833     ,  -07:43:38.57       ,   7.113 , 4.52e+06, 1.3e+34
   J1846-0258    ,  18:46:24.94       ,  -02:58:30.1        ,   5.800 , 728     , 8.1e+36
   J1846+0919    ,  18:46:26.0        ,  +09:19:46          ,   1.530 , 3.6e+05 , 3.4e+34
   J1850-0026    ,  18:50:14.714      ,  -00:26:11.6        ,   6.710 , 6.75e+04, 3.3e+35
   J1850+0242    ,  18:50:41.683      ,  +02:42:57.44       ,   12.310, 4.37e+08, 7.1e+34
   J1853-0004    ,  18:53:23.027      ,  -00:04:33.4        ,   5.339 , 2.88e+05, 2.1e+35
   J1853+0011    ,  18:53:29.980      ,  +00:11:30.6        ,   5.815 , 1.88e+05, 2.1e+34
   J1853+0056    ,  18:53:32.66       ,  +00:56:59          ,   3.841 , 2.04e+05, 4.0e+34
   J1853+0545    ,  18:53:58.411      ,  +05:45:55.26       ,   6.519 , 3.27e+06, 1.2e+34
   B1853+01      ,  18:56:10.65       ,  +01:13:21.3        ,   3.300 , 2.03e+04, 4.3e+35
   J1856+0245    ,  18:56:50.9        ,  +02:45:47          ,   6.318 , 2.06e+04, 4.6e+36
   J1857+0143    ,  18:57:33.008      ,  +01:43:47.0        ,   4.569 , 7.1e+04 , 4.5e+35
   B1855+02      ,  18:57:43.642      ,  +02:12:41.11       ,   8.000 , 1.64e+05, 2.2e+34
   J1858+0239    ,  18:58:18          ,  +02:39:52          ,   5.859 , 2.24e+05, 7.2e+34
   J1858-2216    ,  18:58:17.8792     ,  -22:16:56.4        ,   0.921 , 9.94e+09, 1.1e+34
   J1901-0125    ,  19:01:33.8        ,  -01:25:29          ,   2.360 , 1.24e+09, 6.5e+34
   J1902-5105    ,  19:02:02.84821    ,  -51:05:56.9695     ,   1.645 , 3e+09   , 6.9e+34
   J1903+0327    ,  19:03:05.793213   ,  +03:27:19.20911    ,   7.000 , 1.81e+09, 7.5e+34
   J1903+0601    ,  19:03:20.874      ,  +06:01:34.0        ,   5.887 , 3.09e+05, 1.4e+34
   J1903+0912    ,  19:03:42.101      ,  +09:12:41.69       ,   11.845, 1.78e+05, 1.3e+35
   J1903+0925    ,  19:03:55.18       ,  +09:25:55          ,   6.256 , 1.53e+05, 3.2e+34
   J1904+0800    ,  19:04:03.50       ,  +08:00:52.6        ,   10.966, 2.41e+05, 3.7e+34
   J1905+0902    ,  19:05:19.535      ,  +09:02:32.49       ,   11.553, 9.88e+05, 1.3e+34
   J1906+0454    ,  19:06:47.13970    ,  +04:54:09.042      ,   4.092 , 1.11e+10, 1.3e+34
   J1906+0746    ,  19:06:48.86       ,  +07:46:25.9        ,   7.400 , 1.13e+05, 2.7e+35
   J1907+0345    ,  19:07:14.543      ,  +03:45:10.6        ,   9.481 , 4.63e+05, 2.3e+34
   J1907+0602    ,  19:07:54.74       ,  +06:02:16.9        ,   2.370 , 1.95e+04, 2.8e+36
   J1907+0631    ,  19:07:03.816      ,  +06:31:18.9        ,   3.400 , 1.13e+04, 5.3e+35
   J1907+0731    ,  19:07:54.79       ,  +07:31:21.9        ,   4.994 , 3.13e+05, 1.5e+34
   J1907+0833    ,  19:07:57.044      ,  +08:33:59.99       ,   8.310 , 7.19e+05, 3.1e+34
   J1907+0918    ,  19:07:22.441      ,  +09:18:30.76       ,   8.223 , 3.8e+04 , 3.2e+35
   J1908+0558    ,  19:08:01.997      ,  +05:58:33.94       ,   10.615, 1.17e+06, 1.9e+34
   J1908+0839    ,  19:08:18.51       ,  +08:39:59.2        ,   8.272 , 1.23e+06, 1.5e+34
   J1908+0909    ,  19:08:07.437      ,  +09:09:12.4        ,   8.906 , 1.53e+05, 3.6e+34
   J1908+2105    ,  19:08:57.2940     ,  +21:05:02.726      ,   2.601 , 2.94e+09, 3.2e+34
   J1909+0749    ,  19:09:08.2        ,  +07:49:32          ,   8.286 , 2.47e+04, 4.5e+35
   J1909+0912    ,  19:09:19.91       ,  +09:12:53.7        ,   7.608 , 9.87e+04, 1.3e+35
   J1909-3744    ,  19:09:47.4322832  ,  -37:44:14.583740   ,   1.140 , 3.33e+09, 2.2e+34
   J1910+1026    ,  19:10:48.753      ,  +10:26:52.5        ,   15.743, 3.28e+04, 6.8e+34
   J1910-5959D   ,  19:10:52.4163     ,  -59:59:05.479      ,   4.000 , 1.48e+08, 5.2e+34
   J1910-5959F   ,  19:10:52.066      ,  -59:59:09.30       ,   4.000 , 1.81e+08, 4.8e+34
   J1911+1051    ,  19:11:42.262      ,  +10:51:26.74       ,   10.118, 2.49e+05, 6.9e+34
   J1911-1114    ,  19:11:49.28233    ,  -11:14:22.481      ,   1.069 , 4.12e+09, 1.2e+34
   J1913+0832    ,  19:13:00.50       ,  +08:32:05.1        ,   8.204 , 4.66e+05, 7.4e+34
   J1913+0904    ,  19:13:21.061      ,  +09:04:45.4        ,   2.997 , 1.47e+05, 1.6e+35
   J1913+1011    ,  19:13:20.341      ,  +10:11:22.97       ,   4.613 , 1.69e+05, 2.9e+36
   J1915+1150    ,  19:15:16.61       ,  +11:50:35.4        ,   14.005, 1.16e+05, 5.4e+35
   J1916+1225    ,  19:16:20.045      ,  +12:25:53.94       ,   6.486 , 1.54e+05, 7.9e+34
   B1915+13      ,  19:17:39.7864     ,  +13:53:57.077      ,   5.882 , 4.28e+05, 3.9e+34
   J1921+0137    ,  19:21:30.30765    ,  +01:37:25.539      ,   5.085 , 2.04e+09, 4.9e+34
   J1921+0812    ,  19:21:47.704      ,  +08:12:51.86       ,   2.896 , 6.22e+05, 2.3e+34
   J1921+1544    ,  19:21:46.4723     ,  +15:44:17.46       ,   9.038 , 2.32e+06, 1.3e+34
   J1921+1929    ,  19:21:23.35070    ,  +19:29:22.299      ,   2.434 , 1.1e+09 , 8.1e+34
   J1922+1733    ,  19:22:53.2180     ,  +17:33:23.47       ,   5.360 , 2.8e+05 , 4.0e+34
   J1924+1639    ,  19:24:03.1115     ,  +16:39:40.756      ,   5.059 , 9.77e+05, 2.6e+34
   J1925+1720    ,  19:25:27.031      ,  +17:20:27.31       ,   5.048 , 1.15e+05, 9.5e+35
   J1928+1245    ,  19:28:45.39360    ,  +12:45:53.374      ,   6.079 , 2.85e+09, 2.4e+34
   J1928+1746    ,  19:28:42.553      ,  +17:46:29.62       ,   4.337 , 8.26e+04, 1.6e+36
   J1930+1852    ,  19:30:30.13       ,  +18:52:14.1        ,   7.000 , 2.89e+03, 1.2e+37
   J1931+1817    ,  19:31:52.739      ,  +18:17:00.77       ,   9.573 , 3.46e+04, 3.3e+35
   B1930+22      ,  19:32:22.74       ,  +22:20:51.5        ,   10.900, 3.98e+04, 7.5e+35
   J1934+2352    ,  19:34:46.19       ,  +23:52:55.9        ,   12.207, 2.16e+04, 9.1e+35
   J1935+2025    ,  19:35:41.941      ,  +20:25:40.1        ,   4.598 , 2.09e+04, 4.7e+36
   J1938+2213    ,  19:38:14.180      ,  +22:13:12.68       ,   3.463 , 6.2e+04 , 3.7e+35
   B1937+21      ,  19:39:38.5611889  ,  +21:34:59.119343   ,   3.500 , 2.35e+08, 1.1e+36
   J1940+2245    ,  19:40:27.644      ,  +22:45:46.62       ,   8.081 , 3.23e+05, 2.9e+34
   J1940+2337    ,  19:40:35.486      ,  +23:37:46.5        ,   8.468 , 1.13e+05, 1.9e+34
   J1946+2611    ,  19:46:45.81       ,  +26:11:49.2        ,   7.555 , 3.14e+05, 1.1e+34
   J1948+2551    ,  19:48:17.579      ,  +25:51:51.95       ,   8.698 , 3.45e+05, 4.7e+34
   J1951+4724    ,  19:51:07.45       ,  +47:24:35.1        ,   9.442 , 9.57e+04, 2.0e+35
   J1952+2630    ,  19:52:36.8401     ,  +26:30:28.073      ,   10.033, 7.69e+07, 1.9e+34
   B1951+32      ,  19:52:58.206      ,  +32:52:40.51       ,   3.000 , 1.07e+05, 3.7e+36
   J1954+2836    ,  19:54:19.15       ,  +28:36:06          ,   1.960 , 6.94e+04, 1.0e+36
   J1957+2516    ,  19:57:34.6115     ,  +25:16:02.076      ,   2.659 , 2.29e+09, 1.7e+34
   J1958+2846    ,  19:58:40.07       ,  +28:45:54          ,   1.950 , 2.17e+04, 3.4e+35
   B1957+20      ,  19:59:36.76988    ,  +20:48:15.1222     ,   1.400 , 1.51e+09, 1.6e+35
   B2000+32      ,  20:02:04.424      ,  +32:17:18.31       ,   6.458 , 1.05e+05, 1.2e+34
   J2004+3429    ,  20:04:46.97       ,  +34:29:17.7        ,   10.783, 1.85e+04, 5.8e+35
   J2006+0148    ,  20:06:29.0529     ,  +01:48:53.919      ,   2.437 , 1.04e+10, 1.3e+34
   J2006+3102    ,  20:06:11.0        ,  +31:02:03          ,   6.035 , 1.04e+05, 2.2e+35
   B2011+38      ,  20:13:10.367      ,  +38:45:43.31       ,   7.123 , 4.12e+05, 2.9e+34
   J2017+0603    ,  20:17:22.705223   ,  +06:03:05.56393    ,   1.399 , 5.74e+09, 1.3e+34
   J2021+3651    ,  20:21:05.46       ,  +36:51:04.8        ,   1.800 , 1.72e+04, 3.4e+36
   J2021+4026    ,  20:21:29.99       ,  +40:26:45.1        ,   2.150 , 7.69e+04, 1.2e+35
   J2022+3842    ,  20:22:21.689      ,  +38:42:14.82       ,   10.000, 8.94e+03, 3.0e+37
   J2030+3641    ,  20:30:00.261      ,  +36:41:27.15       ,   6.947 , 4.88e+05, 3.2e+34
   J2030+4415    ,  20:30:51.35       ,  +44:15:38.1        ,   0.720 , 5.55e+05, 2.2e+34
   J2032+4127    ,  20:32:13.119      ,  +41:27:24.31       ,   1.330 , 2.01e+05, 1.5e+35
   J2039-5617    ,  20:39:34.9681     ,  -56:17:09.268      ,   1.800 , 2.97e+09, 3.0e+34
   J2043+1711    ,  20:43:20.8813524  ,  +17:11:28.89999    ,   1.389 , 7.19e+09, 1.5e+34
   J2043+2740    ,  20:43:43.5        ,  +27:40:56          ,   1.480 , 1.2e+06 , 5.6e+34
   J2047+1053    ,  20:47:10.246      ,  +10:53:07.80       ,   2.794 , 3.24e+09, 1.1e+34
   J2052+1219    ,  20:52:47.77803    ,  +12:19:59.022      ,   3.916 , 4.69e+09, 3.4e+34
   J2055+15      ,  20:56:02.5        ,  +15:47:15          ,   3.633 , 1.7e+09 , 7.9e+34
   J2115+5448    ,  21:15:11.7678     ,  +54:48:45.154      ,   3.106 , 5.51e+08, 1.7e+35
   B2127+11E     ,  21:29:58.187      ,  +12:10:08.63       ,   10.400, 4.14e+08, 7.0e+34
   B2127+11F     ,  21:29:57.178      ,  +12:10:02.91       ,   10.400, 1.99e+09, 1.9e+34
   J2129-5721    ,  21:29:22.771225   ,  -57:21:14.24707    ,   3.200 , 2.83e+09, 1.6e+34
   B2148+52      ,  21:50:37.7499     ,  +52:47:49.556      ,   3.610 , 5.21e+05, 1.1e+34
   J2214+3000    ,  22:14:38.853711   ,  +30:00:38.19160    ,   0.600 , 3.36e+09, 1.9e+34
   J2215+5135    ,  22:15:32.6884     ,  +51:35:36.340      ,   2.773 , 1.24e+09, 7.4e+34
   J2216+5759    ,  22:16:05.22       ,  +57:59:53.7        ,   3.588 , 9.62e+04, 3.7e+34
   J2229+6114    ,  22:29:05.28       ,  +61:14:09.3        ,   3.000 , 1.05e+04, 2.2e+37
   J2234+0944    ,  22:34:46.854176   ,  +09:44:30.2224     ,   1.587 , 2.86e+09, 1.7e+34
   J2238+5903    ,  22:38:28.27       ,  +59:03:40.8        ,   2.830 , 2.66e+04, 8.9e+35
   J2240+5832    ,  22:40:42.939      ,  +58:32:37.52       ,   7.275 , 1.44e+05, 2.2e+35
   J2241-5236    ,  22:41:42.0269841  ,  -52:36:36.239590   ,   1.042 , 5.02e+09, 2.6e+34
   J2256-1024    ,  22:56:56.39294    ,  -10:24:34.385      ,   2.083 , 3.2e+09 , 3.7e+34
   J2310-0555    ,  23:10:06.430      ,  -05:55:35.9        ,   1.556 , 8.35e+09, 1.1e+34
   B2334+61      ,  23:37:05.762      ,  +61:51:01.53       ,   0.700 , 4.06e+04, 6.3e+34
   J2339-0533    ,  23:39:38.74       ,  -05:33:05.32       ,   1.100 , 3.24e+09, 2.3e+34
#----------------,--------------------,---------------------,---------,---------,----------
